iter	Passed	Remaining
0	3	3418
1	5	2882
2	7	2481
3	8	2060
4	11	2327
5	12	2107
6	14	2105
7	15	1944
8	16	1813
9	17	1703
10	17	1602
11	19	1594
12	20	1521
13	20	1466
14	21	1410
15	22	1363
16	23	1340
17	23	1306
18	24	1277
19	25	1250
20	26	1223
21	26	1194
22	27	1166
23	28	1141
24	28	1117
25	29	1097
26	30	1082
27	30	1070
28	31	1067
29	32	1052
30	33	1036
31	33	1024
32	34	1012
33	35	1000
34	35	988
35	36	977
36	37	970
37	38	972
38	39	963
39	39	952
40	40	943
41	41	935
42	41	928
43	42	921
44	42	912
45	43	905
46	44	897
47	44	889
48	45	882
49	46	874
50	46	868
51	47	862
52	47	856
53	48	851
54	49	846
55	49	841
56	50	837
57	51	833
58	52	834
59	53	832
60	53	830
61	54	827
62	55	824
63	56	831
64	57	827
65	58	824
66	59	826
67	61	844
68	62	840
69	62	836
70	63	832
71	64	828
72	64	824
73	65	819
74	66	816
75	66	812
76	67	810
77	68	806
78	68	803
79	69	799
80	70	796
81	70	794
82	71	787
83	72	787
84	73	787
85	73	784
86	74	781
87	75	778
88	75	774
89	76	772
90	77	769
91	77	769
92	78	766
93	79	764
94	79	761
95	80	759
96	81	761
97	83	764
98	83	763
99	84	762
100	85	759
101	86	758
102	87	761
103	88	763
104	89	762
105	90	760
106	90	757
107	91	755
108	92	752
109	92	750
110	93	748
111	94	746
112	94	743
113	95	740
114	95	738
115	96	736
116	97	733
117	97	732
118	98	730
119	99	729
120	100	727
121	100	724
122	101	722
123	102	723
124	103	724
125	104	723
126	106	731
127	107	730
128	107	728
129	108	726
130	109	727
131	110	729
132	112	730
133	112	728
134	113	726
135	114	724
136	114	722
137	115	721
138	116	719
139	116	717
140	117	715
141	117	712
142	118	710
143	119	709
144	120	707
145	121	708
146	122	711
147	123	709
148	123	707
149	125	709
150	126	711
151	127	709
152	127	708
153	128	706
154	129	705
155	130	704
156	130	702
157	132	704
158	132	702
159	133	701
160	134	698
161	134	696
162	135	694
163	136	693
164	136	691
165	137	690
166	138	692
167	139	691
168	140	690
169	141	688
170	141	687
171	142	686
172	143	684
173	143	682
174	144	682
175	145	682
176	146	682
177	148	684
178	148	683
179	149	681
180	150	680
181	151	679
182	151	677
183	153	679
184	154	679
185	155	678
186	155	677
187	157	678
188	157	676
189	158	675
190	159	673
191	159	671
192	160	670
193	160	668
194	161	666
195	162	665
196	162	663
197	163	662
198	164	661
199	165	660
200	169	673
201	171	676
202	171	674
203	172	673
204	174	677
205	175	676
206	176	676
207	177	674
208	180	681
209	182	687
210	184	689
211	185	688
212	185	687
213	186	685
214	187	683
215	187	681
216	188	680
217	189	679
218	190	677
219	190	676
220	191	675
221	192	673
222	192	672
223	193	670
224	194	669
225	195	668
226	196	668
227	197	667
228	198	668
229	201	675
230	203	677
231	204	676
232	204	674
233	205	673
234	206	672
235	207	670
236	207	668
237	208	667
238	209	667
239	210	665
240	210	664
241	211	662
242	212	660
243	212	659
244	213	658
245	216	663
246	217	663
247	219	664
248	219	662
249	220	661
250	221	660
251	221	658
252	222	657
253	223	656
254	224	655
255	225	654
256	226	654
257	227	653
258	228	652
259	231	658
260	232	659
261	233	658
262	234	657
263	235	657
264	236	655
265	237	654
266	237	652
267	238	651
268	239	650
269	240	649
270	240	647
271	242	648
272	243	647
273	243	646
274	244	644
275	245	643
276	246	642
277	247	641
278	247	640
279	248	639
280	249	638
281	250	636
282	250	635
283	251	633
284	252	632
285	252	631
286	253	629
287	254	628
288	254	627
289	255	626
290	256	624
291	257	623
292	257	621
293	258	620
294	259	619
295	259	617
296	260	616
297	261	615
298	261	613
299	262	612
300	262	610
301	263	609
302	264	607
303	264	606
304	265	604
305	266	603
306	266	602
307	267	601
308	268	599
309	268	598
310	269	597
311	270	595
312	270	594
313	271	592
314	272	591
315	272	590
316	273	589
317	274	588
318	274	586
319	275	585
320	276	584
321	277	584
322	278	583
323	278	581
324	279	580
325	280	579
326	280	577
327	281	576
328	281	575
329	282	573
330	283	572
331	284	571
332	284	570
333	285	569
334	286	569
335	287	567
336	287	566
337	288	565
338	289	564
339	290	563
340	290	562
341	291	561
342	292	560
